"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-01","62","74","50"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-02","62","73","52"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-03","59","68","52"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-04","53","58","49"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-05","54","57","52"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-06","60","67","56"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-07","69","81","53"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-08","70","79","62"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-09","73","87","61"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-10","62","69","53"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-11","64","74","52"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-12","59","66","55"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-13","55","59","52"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-14","62","71","55"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-15","63","70","57"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-16","64","75","54"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-17","64","73","56"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-18","64","76","56"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-19","67","79","54"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-20","57","64","50"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-21","62","73","48"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-22","63","71","55"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-23","66","78","55"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-24","64","72","59"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-25","63","68","57"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-26","56","59","53"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-27","65","77","51"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-28","72","86","58"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-29","73","87","61"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-06-30","73","83","63"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-01","74","85","67"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-02","73","81","66"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-03","71","81","64"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-04","70","79","62"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-05","57","63","52"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-06","69","79","58"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-07","69","79","61"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-08","72","82","65"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-09","71","79","63"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-10","70","80","61"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-11","68","80","60"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-12","70","82","59"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-13","68","76","61"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-14","72","84","64"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2014-07-15","67","68","66"
