"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-01","33","42","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-02","17","22","14"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-03","21","27","13"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-04","25","28","23"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-05","24","27","22"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-06","26","28","23"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-07","22","25","15"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-08","19","26","14"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-09","19","23","10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-10","11","14","7"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-11","11","15","7"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-12","16","23","10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-13","24","32","12"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-14","14","20","6"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-15","6","12","-1"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-16","11","18","2"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-17","15","25","0"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-18","6","16","-7"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-19","18","27","8"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-20","15","23","9"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-21","4","11","-3"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-22","-2","4","-5"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-23","6","14","-3"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-24","8","17","1"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-25","13","23","-3"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-26","26","31","22"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-27","12","25","-8"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-28","4","11","-9"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-29","19","26","11"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-30","23","29","13"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-01-31","31","33","28"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-01","32","37","28"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-02","31","32","30"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-03","30","39","25"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-04","33","42","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-05","25","32","11"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-06","17","23","10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-07","24","28","16"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-08","17","24","4"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-09","25","32","17"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-10","26","33","16"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-11","16","27","7"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-12","12","22","4"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-13","-1","4","-10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-14","-4","5","-13"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-15","-3","8","-10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-16","-2","10","-14"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-17","6","13","0"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-18","18","21","14"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-19","27","33","20"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-20","36","43","31"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-21","38","50","30"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-22","31","34","28"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-23","34","43","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-24","24","30","16"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-25","13","20","0"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-26","6","16","-6"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-27","17","27","8"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-02-28","24","33","18"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-01","30","39","20"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-02","35","40","32"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-03","11","33","0"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-04","14","31","-4"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-05","35","39","26"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-06","19","27","8"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-07","18","28","4"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-08","32","41","23"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-09","30","43","8"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-10","12","22","4"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-11","20","30","5"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-12","35","41","31"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-13","20","26","12"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-14","14","22","6"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-15","22","30","9"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-16","31","36","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-17","34","41","32"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-18","34","44","21"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-19","25","35","16"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-20","33","39","26"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-21","43","49","35"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-22","45","53","39"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-23","37","41","34"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-24","36","43","31"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-25","35","37","34"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-26","38","41","36"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-27","42","55","35"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-28","42","52","35"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-29","46","50","40"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-30","40","47","35"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-03-31","27","31","22"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-01","26","33","18"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-02","32","37","28"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-03","34","40","28"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-04","24","26","20"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-05","26","28","20"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-06","27","32","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-07","30","38","20"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-08","31","35","27"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-09","34","38","30"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-10","39","53","28"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-11","40","47","31"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-12","40","44","35"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-13","43","52","31"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-14","38","46","30"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-15","53","65","41"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-16","41","61","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-17","25","34","17"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-18","32","38","24"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-19","41","50","33"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-20","48","58","38"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-21","45","56","39"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-22","40","43","37"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-23","43","48","38"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-24","39","44","34"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-25","40","50","33"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-26","41","44","38"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-27","44","52","38"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-28","56","65","42"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-29","62","78","45"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-04-30","48","58","40"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-01","45","50","40"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-02","46","49","42"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-03","47","57","40"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-04","50","61","42"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-05","54","66","46"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-06","48","52","45"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-07","52","66","45"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-08","50","62","45"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-09","49","59","40"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-10","47","56","39"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-11","47","59","38"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-12","40","42","39"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-13","42","46","40"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-14","46","52","41"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-15","45","52","36"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-16","41","48","35"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-17","49","63","33"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-18","66","80","49"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-19","62","73","51"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-20","67","83","52"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-21","60","70","51"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-22","51","53","44"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-23","45","49","43"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-24","43","44","42"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-25","48","52","44"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-26","49","56","45"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-27","50","60","46"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-28","49","57","46"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-29","55","64","46"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-30","60","70","53"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-05-31","61","69","53"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-01","53","56","49"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-02","58","69","48"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-03","57","68","42"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-04","58","65","52"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-05","51","54","48"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-06","63","79","48"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-07","64","75","53"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-08","57","62","51"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-09","53","56","48"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-10","61","73","48"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-11","62","67","58"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-12","65","76","55"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-13","61","68","54"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-14","50","53","45"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2003-06-15","49","53","45"
