STATION,NAME,DATE,TAVG,TMAX,TMIN,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/1/04,0.3,1.1,-0.6,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/6/04,10.2,13.9,6.7,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/7/04,-15.6,-15.6,-15.6,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/8/04,-19.1,-15.6,-22.2,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/9/04,-19.7,-15,-23.3,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/10/04,-20.2,-16.1,-23.9,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/11/04,-14.4,-7.2,-23.3,,,,,,s
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/12/04,-6.9,-3.9,-9.4,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/13/04,-10.6,-5,-21.7,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/14/04,-23.6,-20,-26.7,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/15/04,-22.9,-17.2,-25.6,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/16/04,-17.1,-8.9,-26.7,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/17/04,-5.7,0,-10,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/18/04,-4.2,0.6,-8.9,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/19/04,-7.3,-3.9,-10,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/20/04,-8.1,-3.3,-10.6,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/21/04,-8.1,-1.7,-12.8,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/22/04,-5.6,-2.2,-10.6,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/23/04,-12.5,-7.8,-18.9,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/24/04,-17.5,-12.8,-21.7,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/25/04,-19.7,-13.9,-24.4,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/26/04,-18.5,-12.8,-22.8,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/27/04,-12.5,-3.9,-21.1,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/28/04,-11,-6.1,-16.1,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/29/04,-8.6,-6.1,-10.6,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/30/04,-10.7,-5.6,-15.6,,,,,,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",1/31/04,-12.2,-6.7,-17.8,,,,,,
