"year","month","day","last.frost","tmin"
2003,4,18,2000-04-18,26
2004,4,25,2000-04-25,24
2005,4,15,2000-04-15,30
2006,4,28,2000-04-28,31
2007,4,19,2000-04-19,32
2008,4,14,2000-04-14,31
2009,4,16,2000-04-16,25
2010,4,16,2000-04-16,31
2011,4,22,2000-04-22,32
2012,4,30,2000-04-30,32
2013,4,23,2000-04-23,32
2014,4,19,2000-04-19,32
2015,4,25,2000-04-25,31
2016,5,9,2000-05-09,32
2017,4,18,2000-04-18,32
2018,4,16,2000-04-16,29
2019,4,29,2000-04-29,30
2020,5,13,2000-05-13,32
2021,4,23,2000-04-23,32
2022,4,24,2000-04-24,31
